article_uuid,SDG ID
485ab961-1a6c-4d2a-8f7e-166883e1e06f,9
78afb157-910e-4ca7-8695-6dff0e969e85,9
78afb157-910e-4ca7-8695-6dff0e969e85,8
aa8be357-ee7e-4eba-a502-a2a39c742469,16
402fdc29-6cd8-4f50-b99c-2a44d41ea198,4
402fdc29-6cd8-4f50-b99c-2a44d41ea198,8
402fdc29-6cd8-4f50-b99c-2a44d41ea198,9
e915d185-3be4-4e8c-b244-1035141cb912,4
e915d185-3be4-4e8c-b244-1035141cb912,9
e7d83011-962f-4549-ad42-fe8998fc9a4b,8
e7d83011-962f-4549-ad42-fe8998fc9a4b,1
e7d83011-962f-4549-ad42-fe8998fc9a4b,3
7c5dcb7d-9166-4b1b-9b31-8404dffea92b,13
c0b5c364-40f6-4d2d-8f42-f49cdff4518a,13
cdf49cea-b125-4e88-8047-31eee2db0a51,6
cdf49cea-b125-4e88-8047-31eee2db0a51,2
34fcbca3-4564-476a-9b73-49e4b775c753,1
34fcbca3-4564-476a-9b73-49e4b775c753,10
34fcbca3-4564-476a-9b73-49e4b775c753,13
d82b1c93-8fdd-4af7-91b8-19bb6c215722,3
861e1887-a0dc-4083-85c1-6c45e147e6b7,8
861e1887-a0dc-4083-85c1-6c45e147e6b7,1
861e1887-a0dc-4083-85c1-6c45e147e6b7,11
f70c7075-d3cd-4b0c-a4f3-49041816d133,3
63a9e1d8-e1be-4085-89fd-11c8c425e503,7
63a9e1d8-e1be-4085-89fd-11c8c425e503,13
4a6d74ba-baac-431b-b273-819ab7382ec5,3
4a6d74ba-baac-431b-b273-819ab7382ec5,11
5b9480b3-2db6-4b86-97ad-4aae4f64874d,3
5b9480b3-2db6-4b86-97ad-4aae4f64874d,11
5b9480b3-2db6-4b86-97ad-4aae4f64874d,10
a4db9095-4b28-43f3-b651-2ba273576caf,10
a4db9095-4b28-43f3-b651-2ba273576caf,11
a4db9095-4b28-43f3-b651-2ba273576caf,7
1699b0bf-5128-4c4a-84e2-9cd92905470f,7
1699b0bf-5128-4c4a-84e2-9cd92905470f,10
55cb3a7a-9da3-40d1-94bf-0ba186aff3f8,16
b5399dfa-8814-42b3-9bbc-0b3db788ad1b,12
a32bacfa-1dd5-4a30-b7fc-172e9162cbce,16
a32bacfa-1dd5-4a30-b7fc-172e9162cbce,9
9b9b7cbd-0a9c-4f43-a955-ac7ccf16196e,10
9b9b7cbd-0a9c-4f43-a955-ac7ccf16196e,16
bb730bef-010c-4bb9-872b-a336c086efea,16
f72aa6e1-ff71-4d26-80c5-0902bfd4e8ed,8
f72aa6e1-ff71-4d26-80c5-0902bfd4e8ed,9
f72aa6e1-ff71-4d26-80c5-0902bfd4e8ed,10
0347e015-17e9-4dbb-8c95-7dade3b98f85,8
bd59e7e6-d4b9-4003-8059-3c9ebe871d6e,8
04c6c66d-5378-4016-9675-6e4c6a2b52fe,10
04c6c66d-5378-4016-9675-6e4c6a2b52fe,8
04c6c66d-5378-4016-9675-6e4c6a2b52fe,1
fda9a79b-ffa7-44d7-9b48-ef5a3ce769ac,13
1090b0a5-6402-4d08-a547-30b626eb463b,10
1090b0a5-6402-4d08-a547-30b626eb463b,7
1090b0a5-6402-4d08-a547-30b626eb463b,13
bc5be983-7a3a-4307-8832-8a888e65d63d,13
5cd3b23d-90df-4c43-8c9f-338f72e1e73e,13
5cd3b23d-90df-4c43-8c9f-338f72e1e73e,10
5cd3b23d-90df-4c43-8c9f-338f72e1e73e,7
43591d8d-5573-47da-8a0d-4a10397d8298,13
43591d8d-5573-47da-8a0d-4a10397d8298,12
43591d8d-5573-47da-8a0d-4a10397d8298,11
53ccae47-b245-40a9-81a9-f01cedbba94e,10
53ccae47-b245-40a9-81a9-f01cedbba94e,13
3fcc7077-e7ce-4b3c-9478-9e37af4e14d1,13
3fcc7077-e7ce-4b3c-9478-9e37af4e14d1,10
13872f00-8ffd-46fc-ac56-07af113c358f,13
13872f00-8ffd-46fc-ac56-07af113c358f,12
54be8fc7-dd3f-4f5a-961f-3606a7751977,10
54be8fc7-dd3f-4f5a-961f-3606a7751977,1
d66fe63f-8a44-4ab3-9653-4a3a06a5128f,13
d66fe63f-8a44-4ab3-9653-4a3a06a5128f,12
8a4499dc-0716-4167-a5f9-39a6a70fc4f3,13
9843e76e-96d2-47e4-b72a-fbc8fbf4ab4a,12
9843e76e-96d2-47e4-b72a-fbc8fbf4ab4a,10
9843e76e-96d2-47e4-b72a-fbc8fbf4ab4a,8
e1d9d672-2d9c-4d95-924b-a1b945baadac,7
e1d9d672-2d9c-4d95-924b-a1b945baadac,13
beea364b-1c81-4d5d-9094-5bbe352102b9,13
beea364b-1c81-4d5d-9094-5bbe352102b9,10
beea364b-1c81-4d5d-9094-5bbe352102b9,7
3e8d6837-886f-464e-aeb8-98d2fb74ffe9,13
3e8d6837-886f-464e-aeb8-98d2fb74ffe9,12
3e8d6837-886f-464e-aeb8-98d2fb74ffe9,7
bfffd151-cdda-4a6c-9b27-10555dc84698,13
bfffd151-cdda-4a6c-9b27-10555dc84698,10
b444d724-8b11-4545-86c8-66db20acc659,13
b444d724-8b11-4545-86c8-66db20acc659,8
b444d724-8b11-4545-86c8-66db20acc659,12
